Plain english,shakespear
"If you were a taser, you’d be set to stun.","If thou wert a taser, thou wouldst surely be set to stun."
Do you play soccer? You look like a keeper.,"Pray, dost thou play soccer? For thou lookest like a keeper."
Are you a gardener? I like your tulips.,Art thou a gardener? For I find myself enamoured with thy tulips.
How much does a polar bear weigh? Enough to break the ice!,"How much doth a polar bear weigh? Enough to break the ice, methinks!"
Did you fall into a pile of sugar? You’re looking super sweet.,Dost thou possess a sweetness akin to that of sugar? For thou art looking super sweet.
Do you like cheese? Would you like to brie with me?,Dost thou enjoy cheese? Wouldst thou care to brie with me?
Just wanted to let you know: You have some cute on your face.,I simply wished to inform thee that thou hast some cute upon thy visage.
Are your parents bakers? They sure made a cutie-pie.,"Pray, were thy parents bakers? For they have surely made a cutie-pie."
Do you have an Instagram account? Because my mother always told me to follow my dreams…,Dost thou possess an Instagram account? For my mother didst always advise me to follow my dreams...
I think I saw you on Spotify. You were listed as the hottest single.,"Methinks I saw thee upon Spotify, listed as the hottest single."
bet I know when your birthday is: Oct. 10. Because you’re a 10/10,"I wager I know thy birthday: October the tenth, for thou art a 10/10."
Is your Bluetooth enabled? I feel like we could pair.,Art thou enabled with Bluetooth? For I feel that we might be paired together.
I hope you know CPR because you’re taking my breath away.,"I do hope thou knowest CPR, for thou art stealing away mine breath."
Have you been speeding? Because you’ve got “fine” written all over you.,"Hast thou been speeding? For thou hast the word ""fine"" written all over thee."
I need a real estate agent—do you know any? I’m trying to make a move here.,"Pray, might thou recommend a real estate agent? For I am looking to make a move here."
All your pics came through at a 45-degree angle. Guess you’re acute-y.,All of thy pictures have come through at a 45-degree angle. Methinks thou art quite acute-y.
Are you HTTP? Because without you I’m just ://,"Oh, fair maiden, dost thou see a rainbow outside? For I believe I have discovered gold in thy presence."
Is there a rainbow outside? I think I just found gold.,"Pray tell, dost thou know the square root of two? For when I am near thee, I feel a most irrational fervor."
Do you know the square root of two? Because I feel irrational around you.,"Thou art like a small amount of red phosphorus, and I a tiny wooden stick - together, we are a match made in heaven."
"You must be a small amount of red phosphorus, and I must be a tiny wooden stick—we’re a match.","Good sir, I am composing an article on life's finer things, and I would be most honored to interview thee."
"Hey, I’m writing an article on the finer things in life, and I was hoping I could interview you.","I would ask thee to accompany me to the cinema, but alas, they forbid the bringing of one's own refreshments."
"I would ask you to come to the movies with me, but they have a rule against bringing your own snacks.","I have recently acquired a lipstick impervious to kisses, and I am eager to put it to the test."
"I just bought a kiss-proof lipstick, and I want to test it out.","I have recently acquired a lipstick impervious to kisses, and I am eager to put it to the test."
"On a scale of one to 10, I’m a nine. But you’re the one I need.","On a scale of one to ten, I consider myself a nine. But thou art the one I require."
I guess the pandemic is far from over because your smile is contagious.,"Verily, the pandemic is far from over, for thy smile is as contagious as any malady."
"Are you a good cuddler? Because if so, I might let you join my gang.","Art thou a proficient cuddler? For if so, thou art most welcome to join my clan."
"Do you believe in love at first sight, or shall I delete this match and try again?","Dost thou believe in love at first sight, or shall I erase this match and try again?"
"If you could be any comic book character, who would you be?","If thou couldst assume the guise of any comic book hero, who wouldst thou choose?"
"Are you my oven? Because you’re hot, and I want you to make me dinner.","Art thou my oven? For thou art hot, and I yearn for thee to cook me a meal."
You look so familiar! Did we have chemistry together?,Thou seemest most familiar! Did we perhaps share a chemistry class?
Let’s just set an anniversary date right now.,Let us establish an anniversary this very moment.
Just call me Shrek because I’m head ogre heels for you.,"Call me Shrek, for I am head ogre heels for thee."
Are you my lost luggage? Because I’ve been having so much trouble finding you.,Art thou my lost luggage? For I have been searching tirelessly for thee.
"You’re so gorgeous, I forgot my best pickup line.",Hast thou recently visited a physician? For I believe thou art lacking in vitamin me.
Have you been to the doctor recently? I think you’re lacking some vitamin me.,"Thou art lovely, and I am charming. Together, we could be positively enchanting!"
"You’re pretty, and I’m cute. Together we could be pretty cute!","In truth, I am not so tall - I am merely perched upon my wallet."
I’m not really this tall. I’m just sitting on my wallet.,Dost thou know what is on the menu tonight? Me-n-U.
Do you know what’s on the menu tonight? Me-n-U.,"I have recently become an organ donor, for I would bestow upon thee my heart."
I just became an organ donor so I could give you my heart.,"Excuse me, wouldst thou kindly tie thy shoes? For I would not have thee fall for another."
Hey! Tie your shoes…I don’t want you falling for anyone else.,"Prithee, might thou direct me to the location of thy heart? For I am lost, and thou art the only guide I seek."
Excuse me…I’m a bit lost. Can you give me directions to your heart?,"If purloining men's hearts were a crime, thou wouldst be condemned to a lifetime sentence."
"You know…if stealing men’s hearts was a crime, you’d be sentenced to life.","Art thou a magician? For when I gaze upon thee, all others vanish from sight."
"Are you a magician? Because whenever I look at you, everyone else disappears.","Hail, fair lady! I am [insert name], thine appointed date for the eve, courtesy of the management."
"Hi, I’m [insert name]. I’m your assigned date for the night, compliments of the management.","Forgive me, but it is hard to believe that one as exquisite as thee is present on this app."
"Excuse me, I find it hard to believe that someone as beautiful as you is on this app.","Prithee, might thou pinch me? For I cannot fathom that thou art real - I thought I was but dreaming."
Can you pinch me? [Why] Because I can’t believe you’re real…I thought I was dreaming.,"Rejoice, for this is a fortunate day, as I happen to be single."
This is your lucky day because I just happen to be single.,"Last night, I dreamt of thee. Wouldst thou consider making it a reality?"
I had a dream about you last night. Would you like to make it a reality?,"My dearest, thou must be a broom, for thou hast swept me off my feet."
"Baby, you must be a broom, cuz you just swept me off my feet.","Greetings, the voices within my head have instructed me to come hither and speak with thee."
"Hi, the voices in my head told me to come over and talk to you.","If thou wert a vegetable, thou wouldst be a cutecumber."
"If you were a vegetable, you’d be a cutecumber.",Art thy father an alien? For thou art otherworldly in thy beauty.
Is your dad an alien? Because you are out of this world.,"Alas, I possess no library card - might I peruse thy pages instead?"
"I don’t have a library card, but do you mind if I check you out?",Shall I compare thee to a summer's day?
Do you have a twin sister? Because you look like the girl of my dreams.,"Thou art like my heart's sweet twin sister, fair and lovely."
Are you a wifi signal? Because I’m really feeling a strong connection.,"Art thou a wondrous Wi-Fi signal, for I do feel a strong and steady connection between us."
"Excuse me, do you have a name? I need it for my prayers tonight.","Prithee, might I know thy name, for it doth belong in my prayers this eve?"
Do you have a map? Because I just got lost in your eyes.,"Hast thou a map? Forsooth, mine eyes have lost their way in thy bewitching gaze."
Are you a time traveler? Because I can’t imagine my future without you.,"Art thou a traveler of time? For without thee, I cannot envision my future."
Do you know what my shirt is made of? Boyfriend/girlfriend material.,"Dost thou know of what my shirt is made? It is of a material suitable for a lover, such as thyself."
"Are you a camera? Because every time I look at you, I smile.","Art thou a camera? For each time I look upon thy countenance, my heart doth smile."
"If you were a fruit, you'd be a fineapple.","If thou wert a fruit, thou wouldst be a fine apple indeed."
Do you know what my shirt is made of? Husband/wife material.,"Knowest thou of what my shirt is made? It is of a material befitting a spouse, like unto thyself."
Do you have a Band-Aid? I just scraped my knee falling for you.,"Hast thou a Band-Aid, for I have scraped my knee, falling head over heels for thee."
"I’m not a genie, but I can make your dreams come true.","I am no genie, yet I shall make thy dreams come true, my love."
Do you have a map? Because I keep getting lost in your eyes.,"Hast thou a map, for mine eyes continue to lose their way in thy enchanting gaze."
Is your dad a baker? Because you're a cutie pie!,Is thy father a baker? For thou art a cutie pie.
"If you were a vegetable, you’d be a cute-cumber.","If thou wert a vegetable, thou wouldst be a cute-cumber indeed."
Do you know what I'm thinking? I'm thinking we should hang out.,Dost thou know what I am thinking? I am thinking that we should spend time together.
"Are you a magician? Because whenever I look at you, everyone else disappears.","Art thou a magician? For every time I gaze upon thee, all others do vanish from my sight."
Can I follow you where you go? Because my parents always told me to follow my dreams.,"May I follow thee wherever thou goest, for my parents didst always tell me to pursue my dreams."
Are you a mermaid? Because I’m drowning in your beauty.,Art thou a mermaid? For I feel myself drowning in thy beauty.
Do you know what my shirt is made of? Boyfriend material.,"Knowest thou of what my shirt is made? It is of a material befitting a lover, like unto thyself."
"Are you a parking ticket? Because you’ve got ""fine"" written all over you.","Art thou a parking ticket? For thou art truly ""fine"" in every sense of the word."
"I’m not a photographer, but I can picture us together.","I am no photographer, yet I can envision us together as a pair."
Do you have a twin sister? Because you look like the girl of my dreams.,Shall I compare thee to a summer's day?
Is your name Google? Because you have everything I’ve been searching for.,Is thy name Google? For thou dost possess all that I have sought and searched for.
Do you have a Band-Aid? I just scraped my knee falling for you.,"Hast thou a Band-Aid, for I have scraped my knee, falling head over heels for thee."
Do you have a name or can I call you mine?,"Might I know thy name, or shall I have the honor of calling thee mine own?"
Do you have a map? I just got lost in your eyes.,"Hast thou a map, for I find myself lost in the depths of thy captivating gaze."
Are you a library book? Because I can't stop checking you out.,Art thou a library book? For I cannot resist checking thee out.
