english,toronto mans
"On a scale from one to ten, I think I'm a nine, but you're the person I need.","On a scale of one to 10, I’m a nine. But you’re the one I need, fam."
Your smile is so contagious that it seems like the pandemic isn't over yet.,"I guess the pandemic is far from over because your smile is contagious, eh."
"Are you good at cuddling? If so, maybe we can be together.","Are you a good cuddler? Because if so, I might let you join my squad."
"Do you believe in love at first sight, or should I try to match with someone else?","Do you believe in love at first sight, or should I delete this match and try again, eh?"
"If you could be any comic book character, who would you choose?","If you could be any comic book character, who would you be, fam?"
"You are very attractive, and I want you to make me dinner.","Are you my oven? Because you’re hot, and I want you to make me dinner, eh."
You look familiar. Did we take a chemistry class together?,"You look so familiar! Did we have chemistry together, fam?"
Let's decide on an anniversary date now.,"Let’s just set an anniversary date right now, eh."
I'm head over heels in love with you.,"Just call me Shrek because I’m head ogre heels for you, fam."
I've been trying to find you like I've been trying to find my lost luggage.,"Are you my lost luggage? Because I’ve been having so much trouble finding you, eh."
You're so attractive that I forgot my best pickup line.,"You’re so peng, I forgot my best pickup line, fam."
Have you seen a doctor lately? Because you're lacking Vitamin Me.,"Have you been to the doctor recently? I think you’re lacking some vitamin me, eh."
"You're pretty, and I'm cute, so maybe we could be cute together.","You’re pretty, and I’m cute. Together we could be pretty cute, fam."
I'm not actually this tall; I'm sitting on my wallet.,"I’m not really this tall. I’m just sitting on my wallet, eh."
Tonight's menu is Me-n-U.,"Do you know what’s on the menu tonight? Me-n-U, fam."
I just became an organ donor so I could give you my heart.,"I just became an organ donor so I could give you my heart, eh."
Tie your shoes so you don't fall for anyone else.,"Yo, tie your kicks...I don’t want you falling for anyone else, fam."
"Excuse me, can you give me directions to your heart?","Excuse me...I’m a bit lost. Can you give me directions to your heart, eh?"
"You're so attractive that if stealing hearts were a crime, you'd be sentenced to life.","You know...if stealing mans' hearts was a crime, you’d be sentenced to life, fam."
Are you a magician? Because everyone else disappears when I look at you.,"Yo, are you a magician? Because whenever I look at you, everyone else disappears, eh."
"Hello, my name is [insert name], and I'm your date for the night, courtesy of my friends.","Yo, what’s poppin’? I’m [insert name]. I’m your assigned date for the night, compliments of the mandem, fam."
It's hard to believe someone as attractive as you is on this app.,"Excuse me, I find it hard to believe that someone as beaut as you is on this app, eh."
Pinch me; I can't believe you're real.,"Can you pinch me? Why? Because I can’t believe you’re real...I thought I was dreaming, fam."
"I'm single, and it's your lucky day.","This is your lucky day because I just happen to be single, eh."
I had a dream about you last night. Would you like to make it a reality?,"I had a dream about you last night. Would you like to make it a reality, fam?"
"Baby, you must be a broom because you just swept me off my feet.","Baby, you must be a broom, cuz you just swept me off my feet, eh."
The voices in my head told me to talk to you.,"Yo, the voices in my head told me to come over and talk to you, fam."
"If you were a vegetable, you'd be a cute cucumber.","If you were a veggie, you’d be a cutecumber, eh."
Are your parents from outer space? Because you're out of this world.,"Is your dad an alien? Because you are out of this world, fam."
"I don't have a library card, but can I check you out?","I don’t have a library card, but do you mind if I check you out, eh?"
Do you have a twin sister? Because you look like the girl of my dreams.,"Do you have a twin sister? Because you look like the girl of my dreams, fam."
Are you a wifi signal? Because I feel a strong connection.,"Are you a wifi signal? Because I’m really feeling a strong connection, eh."
"Excuse me, may I know your name? I want to pray for you tonight.","Excuse me, do you have a name? I need it for my prayers tonight, fam."
Do you have a map? Because I'm lost in your eyes.,"Do you have a map? Because I just got lost in your eyes, eh."
Are you a time traveler? Because I can't imagine my future without you.,"Are you a time traveler? Because I can’t imagine my future without you, fam."
"Do you know what my shirt is made of? It's made of boyfriend/girlfriend material, don't you think?","Do you know what my shirt is made of? Boyfriend/girlfriend material, eh."
"Hey, are you a camera? Because every time I look at you, I can't help but smile.","Yo, are you a camera? Because every time I look at you, I smile, fam."
"I just bought a kiss-proof lipstick, want to see if it can handle someone as attractive as me?","Just bought a kiss-proof lippy, wanna see if it can handle a 9 like me?"
"COVID is still out here, but your smile is so contagious.","COVID still out here 'cause your smile's contagious, eh?"
Are you an expert at cuddling? Maybe you could join my group of friends.,You a cuddle expert? Maybe you can join my squad.
"Do you believe in love at first sight, or should I unmatch and try again?","You believe in love at first sight, or should I unmatch and try again, fam?"
"If you could be any comic book character, who would you choose?","If you could be any comic book character, who'd you be, bruh?"
"You're so attractive, can you cook dinner for me?","You're hot like an oven, can you whip up dinner for me?"
"Hey, you look familiar. Did we have chemistry class together in high school?","Yo, you look familiar, did we have chem together in high school or what?"
"Let's mark our anniversary date right now, for real.","Let's mark our anniversary date right now, no cap."
"I'm head over heels for you, like Shrek for Fiona.","I'm head over heels like Shrek for you, ting."
"I've been having trouble finding you, like my lost luggage, but I'm still interested.","Been having trouble finding you like my lost luggage, still interested tho."
"You're so attractive, I forgot my best pick-up line.","You're so peng, I forgot my best pickup line, damn."
"Hey, have you been to the doctor lately? Because I think you're lacking vitamin me.","Yo, you been to the doc lately? 'Cause I think you're lacking vitamin me."
"You're pretty, and I'm cute. Together, we could be a pretty cute couple.","You're pretty and I'm cute, together we could be a pretty cute ting."
"I'm not actually this tall, I'm just sitting on my wallet, you know what I mean?","I'm not really this tall, just sitting on my wallet, you know what I'm sayin'?"
"The menu for tonight is ""me and you."" What do you say?","The menu tonight is me-n-u, what do you say?"
I just became an organ donor so I could give you my heart.,"Just became an organ donor so I could give you my heart, b."
"Hey, tie your shoes. I don't want you falling for anyone else.","Hey, tie your shoes, don't want you falling for anyone else, eh?"
"Excuse me, could you tell me how to get to your heart?","Excuse me, could you give me directions to your heart, please?"
"If stealing men's hearts was a crime, you would be sentenced to life in prison. Still want to risk it?","If stealing men's hearts was illegal, you'd be sentenced to life, still down to risk it?"
"You must be a magician, because everyone else disappears when I look at you.","You must be a magician, 'cause everyone else disappears when I look at you, fam."
"Hey, I'm [insert name]. I'm your date for the night, compliments of the management.","Hey, I'm [insert name]. I'm your date for the night, compliments of the management, you feel me?"
It's hard to believe someone as attractive as you is on this app. I'm lucky I swiped right.,"It's hard to believe someone as peng as you is on this app, still lucky I swiped right."
Can you pinch me? I can't believe you're real. I thought I was dreaming.,"Can you pinch me? I can't believe you're real, thought I was dreaming, jheez."
"This is your lucky day, because I just happen to be single. What do you say?","This is your lucky day, 'cause I just happen to be single, holla."
I had a dream about you last night. Do you want to make it a reality?,"Had a dream about you last night, wanna make it a reality, b?"
"Baby, you must be a broom, because you just swept me off my feet.","Baby, you must be a broom, 'cause you just swept me off my feet, straight up."
"Hey, the voices in my head told me to come over and talk to you.","Yo, the voices in my head told me to come over and talk to you, know what I'm saying?"
"If you were a vegetable, you'd be a ""cutecumber.""","If you were a vegetable, you'd be a cutecumber, lol."
Is your dad an alien? Because you're out of this world.,"Is your dad an alien? 'Cause you're out of this world, fam."
"I don't have a library card, but do you mind if I check you out?","Don't have a library card, but do you mind if I check you out, eh?"
Do you have a twin sister? Because you look like the girl of my dreams.,"Do you have a twin sister? 'Cause you look like the girl of my dreams, no lie."
Are you a WiFi signal? Because I'm feeling a strong connection with you.,"Are you a wifi signal? 'Cause I'm really feeling a strong connection, you know."
"Excuse me, do you have a name? I need it for my prayers tonight.","Excuse me, do you have a name? Need it for my prayers tonight, bless up."
Do you have a map? Because I just got lost in your eyes.,"Do you have a map? 'Cause I just got lost in your eyes, jeez."
Are you a time traveler? Because I can't imagine my future without you.,"Are you a time traveler? 'Cause I can't imagine my future without you, fam."
Do you know what my shirt is made of? It's made of boyfriend/girlfriend material.,"You know what my shirt's made of? Boyfriend/girlfriend material, truss me."
"Are you a camera? Because every time I look at you, I smile.","Are you a camera? 'Cause every time I look at you, I smile, no cap."
